               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089903,            0.016964,                   0,             0.54891,             0.51873,             0.48212,             0.13842,            0.052142,           0.0084438,                   0,            0.070261,           0.0033043,           0.0033043
                   1,            0.054028,            0.014958,                   0,             0.85601,             0.73199,             0.84138,             0.37433,            0.043399,           0.0058925,                   0,            0.040129,           0.0065063,           0.0065063
                   2,             0.04682,            0.012649,                   0,             0.78284,             0.82997,             0.87913,             0.41237,             0.03678,            0.004963,                   0,            0.009866,           0.0095762,           0.0095762
                   3,            0.041722,            0.010737,                   0,             0.92069,             0.87032,             0.93613,              0.5862,            0.029862,           0.0041985,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.037128,           0.0090815,                   0,             0.94213,             0.89147,              0.9544,             0.56243,            0.029825,           0.0038394,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.034595,           0.0088074,                   0,             0.97584,             0.93118,              0.9737,             0.59263,            0.026894,           0.0036331,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.032303,           0.0082651,                   0,              0.9789,             0.93568,             0.97914,              0.5806,            0.027022,            0.003537,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.031553,           0.0080771,                   0,             0.97499,              0.9366,             0.97387,             0.63793,            0.024549,           0.0034848,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.030055,           0.0077771,                   0,             0.97868,             0.94813,             0.98511,              0.6547,            0.023665,           0.0034288,                   0,            0.008614,            0.008614,            0.008614
                   9,             0.02791,           0.0075455,                   0,             0.96535,             0.96343,             0.98327,             0.66921,            0.023328,           0.0031698,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.02807,           0.0075495,                   0,             0.98805,             0.95345,             0.98581,             0.67698,            0.021265,           0.0031195,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.026747,           0.0075435,                   0,             0.97645,             0.96254,             0.99059,             0.71557,            0.019698,           0.0031633,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.026728,           0.0071507,                   0,             0.96608,             0.95389,             0.97947,              0.6156,            0.024056,           0.0032545,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.025499,           0.0071812,                   0,             0.96625,             0.98271,             0.99185,             0.66306,            0.020843,           0.0030187,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.025699,           0.0071427,                   0,             0.98533,             0.96805,             0.98963,             0.71793,            0.019343,           0.0030499,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.024779,           0.0071548,                   0,               0.966,             0.98266,             0.99319,              0.7312,            0.019671,           0.0029951,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.024436,           0.0070031,                   0,             0.97033,             0.94251,             0.98024,             0.63575,            0.023905,           0.0034012,                   0,             0.00703,             0.00703,             0.00703
                  17,             0.02448,           0.0069455,                   0,             0.98867,             0.96542,             0.99406,             0.69623,            0.019704,           0.0029976,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.023601,           0.0068065,                   0,             0.97688,             0.97398,             0.99267,             0.72879,            0.018186,           0.0030301,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.023286,           0.0067163,                   0,             0.98559,             0.98534,             0.99391,             0.72714,            0.018049,           0.0028795,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.023358,           0.0066749,                   0,              0.9799,             0.98328,             0.99363,             0.73767,            0.018187,           0.0028708,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.022952,           0.0067475,                   0,             0.99308,             0.98559,             0.99411,              0.7355,            0.017808,           0.0028296,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.021955,           0.0065986,                   0,             0.98561,             0.98678,             0.99396,             0.71672,            0.018896,           0.0028587,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.022032,           0.0065494,                   0,                0.98,             0.98844,             0.99421,             0.72423,            0.017729,            0.002856,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.021745,           0.0065556,                   0,             0.98278,             0.98665,             0.99437,             0.73878,            0.018141,           0.0029039,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.021786,           0.0065852,                   0,              0.9884,             0.98259,             0.99266,             0.74107,            0.017667,           0.0028387,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.021306,           0.0067444,                   0,             0.99034,             0.97983,             0.99365,             0.74077,            0.017774,           0.0028206,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.021083,           0.0064678,                   0,              0.9884,             0.98249,             0.99209,             0.75033,            0.017238,           0.0027796,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.021121,           0.0064148,                   0,             0.98755,             0.98559,             0.99431,             0.77236,            0.016853,           0.0027332,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.020353,           0.0063154,                   0,             0.98981,             0.98559,             0.99385,             0.77667,            0.016541,           0.0026859,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.020904,           0.0066067,                   0,             0.98432,             0.98847,             0.99302,             0.75347,            0.017231,           0.0027194,                   0,            0.004258,            0.004258,            0.004258
